reference	pageref	identified_name	identified_authority	identified_status	identified_note	assignment_confidence	morphological_information	accepted_name	lsid_act	formation	member	bed	zone	subzone	stage	series	system	location	country	utm_wgs84	latitude	longitude	comments	lsid_pub	synonym_id
Zverkov2019P	15	Arthropterygius chrisorum	Russell1993BGSC	ncomb			Y	Arthropterygius chrisorum																	57
Zverkov2019P	40	Arthropterygius lundi	Roberts2014PO	ncomb			Y	Arthropterygius lundi																	58
Zverkov2020ZJLS	246	Nannopterygius saveljeviensis	Arkhangelsky1997PZ	ncomb			Y	Nannopterygius saveljeviensis							Volgian	Upper Jurassic	Jurassic		RU						59
vonHuene1922	97	Brachypterygius extremus	Boulenger1904PZSL	ncomb		v	N	Brachypterygius extremus																urn:lsid:zoobank.org:pub:2E316B82-8A25-43AE-A1C5-3785124EA6AE	60
vonHuene1922	98	Myopterygius campylodon	Carter1846RBAAS	ncomb			N	Pervushovisaurus campylodon																urn:lsid:zoobank.org:pub:2E316B82-8A25-43AE-A1C5-3785124EA6AE	61
vonHuene1922	98	Nannopterygius enthekiodon	Hulke1871QJGS	ncomb			N	Nannopterygius enthekiodon																urn:lsid:zoobank.org:pub:2E316B82-8A25-43AE-A1C5-3785124EA6AE	62
vonHuene1922	99	Platypterygius platydactylus	Broili1907P	ncomb			N	Platypterygius platydactylus																urn:lsid:zoobank.org:pub:2E316B82-8A25-43AE-A1C5-3785124EA6AE	63
Chen2014POa	4	Eohupehsuchus brevicollis	Chen2014POa	orig		v *	Y	Eohupehsuchus brevicollis	urn:lsid:zoobank.org:act:94F905DD-8995-4477-841A-85DEDA8C8287	Jialingjiang Formation					upper Spathian	Lower Triassic	Triassic	Yangping, Yuan'an County, Hubei Province, China	CN					urn:lsid:zoobank.org:pub:1B8887A9-F513-427D-BE9A-DBBB15DD9A44	64
Carroll1991PTRSBBS	143	*Hupehsuchia* n. gen. n. sp.		orig			Y	Eretmorhipis carrolldongi		Jialingjiang Formation					upper Spathian	Lower Triassic	Triassic	Tuling, Baihechuan, Xunjiang District, Nanzhang County, Hubei Province, China	CN						65
Chen2015PO	4	Eretmorhipis carrolldongi	Chen2015PO	orig		v *	Y	Eretmorhipis carrolldongi	urn:lsid:zoobank.org:act:317DA1DF-4381-43F5-90CE-ADFD680F7178	Jialingjiang Formation					upper Spathian	Lower Triassic	Triassic	Yingzhishang, Yuan'an County, Hubei Province, China	CN					urn:lsid:zoobank.org:pub:132627FE-9142-4EE2-BACB-08CAFC65C3E2	66
